项目,大肠菌群,粪大肠杆菌群,PH,溶解氧,化学需氧量,生化需氧量,无机氮,非离子氨,活性磷酸盐,汞,镉,铅,六价铬,总铬,砷,铜,锌,硒,镍,氰化物,硫化物,挥发性酚,石油类,六六六,滴滴涕,马拉硫磷,甲基对硫磷,苯并芘,阴离子表面活性剂,60Co,90Sr,106Rn,134Cs,137Cs
单位,个/L,个/L,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,μg/L,mg/L,Bq/L,Bq/L,Bq/L,Bq/L,Bq/L
类型,≤,≤,＜＞,＞,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤,≤
1类,10000,2000,7.8-8.5,6,2,1,0.2,0.02,0.015,0.00005,0.001,0.001,0.005,0.05,0.02,0.005,0.02,0.01,0.005,0.005,0.02,0.005,0.05,0.001,0.00005,0.0005,0.0005,0.0025,0.03,0.03,4,0.2,0.6,0.7
2类,10000,2000,7.8-8.5,5,3,3,0.3,0.02,0.03,0.0002,0.005,0.005,0.01,0.1,0.03,0.01,0.05,0.02,0.01,0.005,0.05,0.005,0.05,0.002,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
3类,10000,2000,6.8-8.8,4,4,4,0.4,0.02,0.03,0.0002,0.01,0.01,0.02,0.2,0.05,0.05,0.1,0.02,0.02,0.1,0.1,0.01,0.3,0.003,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
4类,,,6.8-8.8,3,5,5,0.5,0.02,0.045,0.0005,0.01,0.05,0.05,0.5,0.05,0.05,0.5,0.05,0.05,0.2,0.25,0.05,0.5,0.005,0.0001,0.001,0.001,0.0025,0.1,0.03,4,0.2,0.6,0.7
